Date,Return,Loss,VaR_Param,VaR_Emp,ES_975,Breach_Param,Breach_Emp
2025-02-13,0.015046275023983662,-0.015046275023983662,0.01939724390048752,0.02157259879885347,0.022978796399856703,False,False
2025-02-14,0.0017659534552390192,-0.0017659534552390192,0.019424624980352717,0.02157259879885347,0.022978796399856703,False,False
2025-02-17,0.0012939954530125136,-0.0012939954530125136,0.01942530282820345,0.02157259879885347,0.022978796399856703,False,False
2025-02-18,0.0021261312756189993,-0.0021261312756189993,0.019296641513396894,0.02157259879885347,0.02282341457915586,False,False
2025-02-19,-0.011769326891179563,0.011769326891179563,0.019263475089093665,0.02157259879885347,0.02282341457915586,False,False
2025-02-20,0.0014833921246657198,-0.0014833921246657198,0.019314512287662847,0.02157259879885347,0.02282341457915586,False,False
2025-02-21,0.003923272373847715,-0.003923272373847715,0.019296260782634866,0.02157259879885347,0.02282341457915586,False,False
2025-02-24,-0.00781999383790078,0.00781999383790078,0.019293688446163883,0.02157259879885347,0.02282341457915586,False,False
2025-02-25,-0.004946145832305517,0.004946145832305517,0.01932425643583873,0.02157259879885347,0.02282341457915586,False,False
2025-02-26,0.011466646965291049,-0.011466646965291049,0.019345215901969817,0.02157259879885347,0.02282341457915586,False,False
2025-02-27,-0.0050965001691686595,0.0050965001691686595,0.01934197134352587,0.02157259879885347,0.02282341457915586,False,False
2025-02-28,0.0011236931069087681,-0.0011236931069087681,0.019354574799548524,0.02157259879885347,0.02282341457915586,False,False
2025-03-03,0.010799963105372479,-0.010799963105372479,0.01934962055747206,0.02157259879885347,0.02282341457915586,False,False
2025-03-04,-0.01868511978462681,0.01868511978462681,0.019284066775462287,0.02157259879885347,0.02282341457915586,False,False
2025-03-05,0.015514136650701065,-0.015514136650701065,0.01911892259955701,0.020226263035017605,0.021999494764202623,False,False
2025-03-06,0.002922158128027727,-0.002922158128027727,0.01909806709575789,0.020226263035017605,0.021999494764202623,False,False
2025-03-07,-0.009421310584186453,0.009421310584186453,0.018642080392610373,0.020079930671827704,0.020400432799811727,False,False
2025-03-10,-0.009054724969416878,0.009054724969416878,0.018616177193970917,0.020079930671827704,0.020400432799811727,False,False
2025-03-11,-0.01322010230696092,0.01322010230696092,0.018569154131902237,0.020079930671827704,0.020400432799811727,False,False
2025-03-12,0.005906763552531908,-0.005906763552531908,0.018629009868050744,0.020079930671827704,0.020400432799811727,False,False
2025-03-13,-0.006372779596763255,0.006372779596763255,0.01859945396656404,0.020079930671827704,0.020400432799811727,False,False
2025-03-14,0.011282477375675115,-0.011282477375675115,0.01862803402826647,0.020079930671827704,0.020400432799811727,False,False
2025-03-17,0.00567626142944298,-0.00567626142944298,0.01864256222286724,0.020079930671827704,0.020400432799811727,False,False
2025-03-18,0.00501464668521868,-0.00501464668521868,0.01851440017208999,0.020079930671827704,0.020245035426790643,False,False
2025-03-19,0.006987655932672765,-0.006987655932672765,0.018507047254225896,0.020079930671827704,0.020245035426790643,False,False
2025-03-20,-0.009501065599785427,0.009501065599785427,0.018508526410811667,0.020079930671827704,0.020245035426790643,False,False
2025-03-21,-0.006351824339358136,0.006351824339358136,0.01852939611929689,0.020079930671827704,0.020245035426790643,False,False
2025-03-24,-0.0025670424866436913,0.0025670424866436913,0.01854461904013093,0.020079930671827704,0.020245035426790643,False,False
2025-03-25,0.010695061195727905,-0.010695061195727905,0.018550032577007113,0.020079930671827704,0.020245035426790643,False,False
2025-03-26,-0.009654745606656691,0.009654745606656691,0.018564240945013043,0.020079930671827704,0.020245035426790643,False,False
2025-03-27,-0.005064718921444358,0.005064718921444358,0.018610849342851843,0.020079930671827704,0.020245035426790643,False,False
2025-03-28,-0.009308366108825699,0.009308366108825699,0.018616225416311295,0.020079930671827704,0.020245035426790643,False,False
2025-03-31,-0.015964150466784236,0.015964150466784236,0.018662376566611367,0.020079930671827704,0.020245035426790643,False,False
2025-04-01,0.010933857649807244,-0.010933857649807244,0.01876367450547813,0.020079930671827704,0.02027900235293319,False,False
2025-04-02,-0.00222810051529659,0.00222810051529659,0.018776936258759307,0.020079930671827704,0.02027900235293319,False,False
2025-04-03,-0.03362372515164619,0.03362372515164619,0.018769773404641414,0.020079930671827704,0.02027900235293319,True,True
2025-04-04,-0.043577058159717214,0.043577058159717214,0.019160181712400293,0.020226263035017605,0.021658014590556607,True,True
2025-04-07,-0.04899280770467248,0.04899280770467248,0.019763720376766998,0.02157259879885347,0.023784878644863835,True,True
2025-04-08,0.024709766900097893,-0.024709766900097893,0.020505977508755494,0.02676317125482223,0.02632554458623985,False,False
2025-04-09,-0.034006345278800136,0.034006345278800136,0.020622522014730412,0.02676317125482223,0.02632554458623985,True,True
2025-04-10,0.037605295598580196,-0.037605295598580196,0.020985299448523117,0.027273728109675162,0.0277049877024017,False,False
2025-04-11,-0.0029822920722342113,0.0029822920722342113,0.02127936932824307,0.027273728109675162,0.0277049877024017,False,False
2025-04-14,0.02341479205803557,-0.02341479205803557,0.021286519461191502,0.027273728109675162,0.0277049877024017,False,False
2025-04-15,0.008526553325755505,-0.008526553325755505,0.021361425613029394,0.027273728109675162,0.0277049877024017,False,False
2025-04-16,-0.0007404774246687225,0.0007404774246687225,0.021327193115561447,0.027273728109675162,0.0277049877024017,False,False
2025-04-17,-0.006035987726989768,0.006035987726989768,0.021331967604805654,0.027273728109675162,0.0277049877024017,False,False
2025-04-22,0.0055583819831775,-0.0055583819831775,0.021354741034411307,0.027273728109675162,0.0277049877024017,False,False
2025-04-23,0.02105438528619522,-0.02105438528619522,0.02126937618771648,0.027273728109675162,0.0277049877024017,False,False
